,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,9102,50003,0,38432,2469,420100,湖北省
1,孝感,125,3518,0,3266,127,420900,湖北省
2,鄂州,62,1394,0,1275,57,420700,湖北省
3,随州,41,1307,0,1221,45,421300,湖北省
4,荆州,38,1580,0,1492,50,421000,湖北省
5,黄冈,32,2907,0,2750,125,421100,湖北省
6,十堰,30,672,0,634,8,420300,湖北省
7,黄石,27,1015,0,950,38,420200,湖北省
8,宜昌,27,931,0,868,36,420500,湖北省
9,荆门,24,928,0,865,39,420800,湖北省
10,仙桃,24,575,0,529,22,429004,湖北省
11,襄阳,9,1175,0,1128,38,420600,湖北省
12,潜江,6,198,0,183,9,429005,湖北省
13,天门,4,496,0,477,15,429006,湖北省
14,咸宁,3,836,0,819,14,421200,湖北省
15,恩施州,3,252,0,242,7,422800,湖北省
16,神农架林区,0,11,0,11,0,429021,湖北省
17,朝阳区,72,72,0,0,0,110105,北京市
18,海淀区,63,63,0,0,0,110108,北京市
19,西城区,53,53,0,0,0,110102,北京市
20,丰台区,40,43,0,3,0,110106,北京市
21,境外输入人员,35,37,0,2,0,0,北京市
22,大兴区,23,39,0,16,0,110115,北京市
23,外地来京人员,23,25,0,2,0,-1,北京市
24,昌平区,19,29,0,10,0,110114,北京市
25,通州区,18,19,0,1,0,110112,北京市
26,房山区,13,16,0,3,0,110111,北京市
27,东城区,13,14,0,1,0,110101,北京市
28,石景山区,13,14,0,1,0,110107,北京市
29,顺义区,10,10,0,0,0,110113,北京市
30,怀柔区,7,7,0,0,0,110116,北京市
31,密云区,7,7,0,0,0,110118,北京市
32,门头沟区,1,3,0,2,0,110109,北京市
33,延庆区,1,1,0,0,0,110119,北京市
34,待明确地区,-327,0,0,319,8,0,北京市
35,深圳,19,423,0,401,3,440300,广东省
36,广州,17,348,0,330,1,440100,广东省
37,佛山,4,85,0,81,0,440600,广东省
38,中山,4,68,0,64,0,442000,广东省
39,东莞,2,100,0,97,1,441900,广东省
40,汕头,1,25,0,24,0,440500,广东省
41,珠海,0,98,0,97,1,440400,广东省
42,惠州,0,62,0,62,0,441300,广东省
43,江门,0,23,0,23,0,440700,广东省
44,湛江,0,22,0,22,0,440800,广东省
45,肇庆,0,19,0,18,1,441200,广东省
46,梅州,0,16,0,16,0,441400,广东省
47,阳江,0,14,0,14,0,441700,广东省
48,茂名,0,14,0,14,0,440900,广东省
49,清远,0,12,0,12,0,441800,广东省
50,韶关,0,10,0,9,1,440200,广东省
51,揭阳,0,8,0,8,0,445200,广东省
52,汕尾,0,5,0,5,0,441500,广东省
53,潮州,0,5,0,5,0,445100,广东省
54,河源,0,4,0,4,0,441600,广东省
55,境外输入人员,40,42,0,2,0,0,甘肃省
56,兰州,0,36,0,34,2,620100,甘肃省
57,天水,0,12,0,12,0,620500,甘肃省
58,平凉,0,9,0,9,0,620800,甘肃省
